ID,Name,Duration
1,1. ANALIZA,1d
2,1.1. Analiza wymagań funkcjonalnych,1d
3,1.1.1. Analiza procesów zgłaszania zgub,1d
4,1.1.2. Analiza procesów zgłaszania znalezisk,1d
5,1.1.3. Analiza procesów matchowania przedmiotów,1d
6,1.1.4. Analiza procesów logistycznych,1d
7,1.1.4.1. Nadanie przesyłki,1d
8,1.1.4.2. Śledzenie przesyłek,1d
9,1.1.4.3. Potwierdzenie odbioru,1d
10,1.1.5. Analiza procesów płatności,1d
11,1.1.5.1. Obsługa escrow,1d
12,1.1.5.2. Rozliczenie wysyłek,1d
13,1.1.5.3. Obsługa reklamacji,1d
14,1.2. Analiza wymagań niefunkcjonalnych,1d
15,1.2.1. Wymagania wydajnościowe,1d
16,1.2.1.1. Obciążenie serwera,1d
17,1.2.1.2. Obsługa równoczesnych użytkowników,1d
18,1.2.2. Wymagania bezpieczeństwa,1d
19,1.2.2.1. Ochrona danych użytkowników,1d
20,1.2.2.2. Odporność na ataki (np. SQL Injection),1d
21,1.2.2.3. Zgodność z RODO,1d
22,1.2.3. Wymagania integracji API,1d
23,1.2.3.1. Płatności i escrow,1d
24,1.2.3.2. Geolokalizacja,1d
25,1.2.3.3. API InPost,1d
26,1.3. Modelowanie danych,1d
27,1.3.1. Analiza struktury bazy danych,1d
28,1.3.1.1. Projekt tabel zgłoszeń,1d
29,1.3.1.2. Projekt tabel użytkowników,1d
30,1.3.1.3. Projekt tabel logistycznych,1d
31,1.3.2. Specyfikacja przepływu danych między systemami,1d
32,1.3.2.1. Przepływ zgłoszenia od użytkownika do bazy,1d
33,1.3.2.2. Integracja danych z API InPost i geolokalizacji,1d
34,1.3.2.3. Obsługa danych płatności w escrow,1d
35,1.4. Analiza ryzyk,1d
36,"1.4.1. Identyfikacja potencjalnych zagrożeń (np. błędy integracji, niewydolność systemu)",1d
37,1.4.2. Ocena wpływu ryzyk na funkcjonalność,1d
38,1.4.3. Plan minimalizacji ryzyk,1d
39,1.5. Dokumentacja wyników analizy,1d
40,1.5.1. Raport wymagań funkcjonalnych,1d
41,1.5.2. Raport wymagań niefunkcjonalnych,1d
42,1.5.3. Dokumentacja modelu danych,1d
43,1.5.4. Dokumentacja planu zarządzania ryzykiem,1d
44,2. PROJEKTOWANIE,1d
45,2.1. Architektura Rozwiązania,1d
46,2.1.1. Architektura Systemu,1d
47,2.1.1.1. Diagram architektury,1d
48,2.1.1.2. Diagram przepływu danych,1d
49,2.1.1.3. Schemat bazy danych,1d
50,2.1.1.4. Architektura systemu escrow,1d
51,2.1.2. Plan Integracji,1d
52,2.1.2.1. Specyfikacja API płatności i escrow,1d
53,2.1.2.2. Specyfikacja API InPost,1d
54,2.1.2.3. Specyfikacja geolokalizacji,1d
55,2.2. Procesy Biznesowe,1d
56,2.2.1. Proces Główny,1d
57,2.2.1.1. Proces zgłaszania zgub,1d
58,2.2.1.2. Proces zgłaszania znalezisk,1d
59,2.2.1.3. Proces matchowania,1d
60,2.2.2. Proces Logistyczny,1d
61,2.2.2.1. Nadanie przesyłki (z API InPost albo w ich apce),1d
62,2.2.2.2. Śledzenie przesyłki (generowanie linków do InPost),1d
63,2.2.2.3. Potwierdzenie odbioru (z API InPost),1d
64,2.2.3. Proces Płatności,1d
65,2.2.3.1. Wypłata znaleźnego poprzez escrow,1d
66,2.2.3.2. Rozliczenie wysyłki,1d
67,2.2.3.3. Obsługa reklamacji płatności,1d
68,2.3. Interfejs Użytkownika,1d
69,2.3.1. Makiety Główne,1d
70,2.3.1.1. Rejestracja/logowanie,1d
71,2.3.1.2. Zgłaszanie przedmiotów,1d
72,2.3.1.3. Lista dopasowań,1d
73,2.3.2. Makiety Procesów,1d
74,2.3.2.1. Proces wysyłki,1d
75,2.3.2.2. Proces płatności i escrow,1d
76,2.4. Standardy i Dokumentacja,1d
77,2.4.1. Standardy Nazewnictwa,1d
78,2.4.1.1. Opracowanie słownika projektowego i terminologii,1d
79,2.4.1.2. Projekt konwencji nazewnictwa dla systemu,1d
80,2.4.2. Standardy Dokumentacji Technicznej,1d
81,2.4.2.1. Projekt szablonów dokumentacji,1d
82,2.4.2.2. Specyfikacja wymagań dla systemu dokumentacji,1d
83,2.4.3. Specyfikacja API,1d
84,2.4.3.1. Projekt standardów dokumentacji API,1d
85,2.4.3.2. Specyfikacja systemu wersjonowania,1d
86,2.4.3.3. Skrypt tworzący środowisko testowe API,1d
87,3. BUDOWA,1d
88,3.1. Alpha,1d
89,3.1.1. Podstawowe Funkcje,1d
90,3.1.1.1. Rejestracja użytkownika,1d
91,3.1.1.2. Zgłaszanie przedmiotów,1d
92,3.1.1.3. Podstawowy matching,1d
93,3.1.2. Działające Demo *Minimal Viable Product*,1d
94,3.1.2.1. Formularze zgłoszeń,1d
95,3.1.2.2. Widok dopasowań,1d
96,3.1.2.3. Profil użytkownika,1d
97,3.2. Beta,1d
98,3.2.1. Weryfikacja,1d
99,3.2.1.1. System weryfikacji tożsamości,1d
100,3.2.1.2. System ocen,1d
101,3.2.1.3. System zabezpieczenia transakcji escrow,1d
102,3.2.2. Rozszerzony Matching,1d
103,3.2.2.1. Geolokalizacja,1d
104,3.2.2.2. Zaawansowane filtry,1d
105,3.2.2.3. System powiadomień,1d
106,3.3. Produkcja,1d
107,3.3.1. Integracje,1d
